title,authors,published_date,categories,description,rating,user_id
The Corrections,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,417
Creative Correction: Extraordinary Ideas For Everyday Discipline,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,455
Original Sin (Adam Dalgliesh #9),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,282
Original Sin: Illuminating the Riddle,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,219
An Original Sin,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,494
Aliens: Original Sin,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,319
Death in Holy Orders (Adam Dalgliesh  #11),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,136
The Lighthouse (Adam Dalgliesh #13),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,162
Unnatural Causes (Adam Dalgliesh #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,268
Death of an Expert Witness (Adam Dalgliesh #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,210
A Mind To Murder (Adam Dalgliesh  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,10
A Taste for Death (Adam Dalgliesh  #7),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,236
Time To Be In Earnest: A Fragment Of Autobiography,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,666
Cover Her Face (Adam Dalgliesh #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,342
The Black Tower (Adam Dalgliesh #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,258
Innocent Blood,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,626
Don Quixote,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,28
Lectures on Don Quixote,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,17
Cliffs Notes on Cervantes' Don Quixote,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,341
Desert Heat (Joanna Brady  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,195
Kentucky Heat,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,478
Heat Wave: A Social Autopsy of Disaster in Chicago,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,608
Texas Heat (Texas  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,104
Primal Heat (Includes: Breeds  #8.5; Devlin Dynasty  #1; Moon Lust  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,129
Heat and Dust,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,231
Holy Cow: An Indian Adventure,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.53,535
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,612
The History of Love,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,353
A Brief History of Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,687
The Politically Incorrect Guide to American History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,409
A History of the World in 6 Glasses,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,678
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,77
The Sun Also Rises,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,605
The Bon Appetit Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,134
The Barefoot Contessa Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,539
Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,631
Sylvia,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,396
The Life Of Dashiell Hammett,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,235
Divorcio a la Francesa: Le Divorce,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.88,196
London is the Best City in America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.45,657
Hyperion (Los Cantos de Hyperion  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.24,282
The Fall of Hyperion (Hyperion Cantos  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,509
Supreme Power: Hyperion,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.45,696
Die Hyperion-Gesänge,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,125
La Chute d'Hypérion II,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,46
Endymion,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,88
Olympos (Ilium  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,296
Ilium (Ilium  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,524
The Terror,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,192
Worlds Enough & Time: Five Tales of Speculative Fiction,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,176
Hard Freeze (Joe Kurtz  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,390
Endymion (Hyperion Cantos  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,147
A Winter Haunting (Seasons of Horror  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,244
The Amazing Adventures of Kavalier & Clay,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,223
The Amazing Adventures of the Escapist: Volume 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.46,510
The Great House of God,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,276
The Devil and Miss Prym (On the Seventh Day  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,125
Nine Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,218
The Sun Rises: and Other Questions About Time and Seasons,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,95
American Psycho,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,131
Lunar Park,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,508
The Burden of Proof (Kindle County Legal Thriller #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,571
Godless,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,526
That Godless Court?: Supreme Court Decisions on Church-State Relationships,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,509
Soul Mates: Honouring the Mysteries of Love and Relationship,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,599
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,578
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,598
Man's Search for Meaning,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.36,265
In Search of Memory: The Emergence of a New Science of Mind,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,276
Search Engine Optimization for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,625
The Pragmatic Programmer: From Journeyman to Master,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.31,13
Behind Closed Doors: Secrets of Great Management,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,682
Blink 182,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,268
I Blink: And Other Questions About My Body,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,157
The Great Good Thing (The Sylvie Cycle  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,382
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,558
Built to Last: Successful Habits of Visionary Companies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,493
I Like You: Hospitality Under the Influence,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,428
Children Playing Before a Statue of Hercules,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,539
Bringing Down The House,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,558
Read for Your Life: 11 Ways to Better Yourself Through Books,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.7,567
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,13
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,273
The Cold Six Thousand (Underworld USA #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,19
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,55
The Guide to Dan Brown's the Solomon Key,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.98,558
The Illuminati,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,328
The Illuminati Papers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,544
El código Da Vinci (Robert Langdon  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,687
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,541
Housekeeping vs. the Dirt,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,77
The Polysyllabic Spree,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,674
Songbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.56,276
My Favorite Year: A Collection of Football Writing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,296
Fever Pitch,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,687
High Fidelity,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,370
About a Boy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,102
The Complete Polysyllabic Spree,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,113
Medicus (Gaius Petreius Ruso  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,330
Middlesex Borough (Images of America: New Jersey),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,5.0,661
